timestamp,start_time,departure_runways,arrival_runways
2020-11-01 00:59:55,2020-12-01 23:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 01:23:49,2020-11-01 01:00:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 01:55:58,2020-11-01 01:23:00,36R,"36L, 36R"
2020-11-01 02:53:42,2020-11-01 01:56:00,36R,"36L, 36R"
2020-11-01 03:52:35,2020-11-01 02:54:00,36R,36R
2020-11-01 04:55:06,2020-11-01 03:53:00,36R,36R
2020-11-01 05:52:16,2020-11-01 04:55:00,36R,36R
2020-11-01 06:11:49,2020-11-01 05:52:00,36R,36R
2020-11-01 06:51:47,2020-11-01 06:12:00,36R,36R
2020-11-01 07:51:44,2020-11-01 06:52:00,36R,36R
2020-11-01 08:23:43,2020-11-01 07:52:00,36R,36R
2020-11-01 09:06:31,2020-11-01 08:24:00,"36C, 36R","36C, 36R"
2020-11-01 09:52:32,2020-11-01 09:06:00,"36C, 36R","36C, 36R"
2020-11-01 10:39:42,2020-11-01 09:52:00,"36C, 36R","36C, 36R"
2020-11-01 10:54:56,2020-11-01 10:39:00,"36C, 36R","36C, 36R"
2020-11-01 11:38:47,2020-11-01 10:55:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 11:55:38,2020-11-01 11:39:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 12:04:43,2020-11-01 11:55:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 12:05:14,2020-11-01 12:05:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 12:16:10,2020-11-01 12:06:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 12:32:01,2020-11-01 12:16:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 12:52:48,2020-11-01 12:33:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 13:27:50,2020-11-01 12:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 13:51:56,2020-11-01 13:27:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 14:52:52,2020-11-01 13:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 15:28:56,2020-11-01 14:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 15:51:59,2020-11-01 15:28:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 16:52:54,2020-11-01 15:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 17:54:05,2020-11-01 16:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 18:33:21,2020-11-01 17:54:00,"18C, 18L","18C, 18L, 18R"
2020-11-01 18:58:49,2020-11-01 18:33:00,"18C, 18L","18C, 18L, 18R"
2020-11-01 19:53:08,2020-11-01 18:59:00,"18C, 18L","18C, 18L, 18R"
2020-11-01 20:01:36,2020-11-01 19:53:00,"18C, 18L","18C, 18L, 18R"
2020-11-01 20:43:02,2020-11-01 20:02:00,"18C, 18L","18C, 18L, 18R"
2020-11-01 20:52:32,2020-11-01 20:43:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 21:36:03,2020-11-01 20:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 21:52:03,2020-11-01 21:37:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 22:52:47,2020-11-01 21:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-01 23:52:03,2020-11-01 22:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-02 00:52:56,2020-11-01 23:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-02 01:59:59,2020-11-02 00:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-02 02:26:47,2020-11-02 02:00:00,"36C, 36R","36C, 36L, 36R"
2020-11-02 02:52:34,2020-11-02 02:27:00,36R,"36L, 36R"
2020-11-02 03:51:58,2020-11-02 02:52:00,36R,"36L, 36R"
2020-11-02 04:51:58,2020-11-02 03:52:00,36R,36R
2020-11-02 05:52:45,2020-11-02 04:52:00,36R,36R
2020-11-02 06:56:14,2020-11-02 05:53:00,36R,36R
2020-11-02 07:52:54,2020-11-02 06:56:00,36R,36R
2020-11-02 08:59:24,2020-11-02 07:53:00,36R,36R
2020-11-02 09:53:39,2020-11-02 08:59:00,36R,36R
2020-11-02 10:24:05,2020-11-02 09:54:00,36R,36R
2020-11-02 10:52:41,2020-11-02 10:24:00,"36C, 36R","36C, 36R"
2020-11-02 11:58:54,2020-11-02 10:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-02 12:53:23,2020-11-02 11:59:00,"36C, 36R","36C, 36L, 36R"
2020-11-02 13:52:57,2020-11-02 12:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-02 14:54:26,2020-11-02 13:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-02 15:52:10,2020-11-02 14:55:00,"36C, 36R","36C, 36L, 36R"
2020-11-02 16:53:45,2020-11-02 15:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-02 17:52:21,2020-11-02 16:54:00,"36C, 36R","36C, 36L, 36R"
2020-11-02 18:58:43,2020-11-02 17:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-02 19:54:45,2020-11-02 18:58:00,"36C, 36R","36C, 36L, 36R"
2020-11-02 20:53:06,2020-11-02 19:55:00,"36C, 36R","36C, 36L, 36R"
2020-11-02 21:52:12,2020-11-02 20:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-02 22:52:50,2020-11-02 21:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-02 23:52:57,2020-11-02 22:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-03 00:55:19,2020-11-02 23:53:00,"36C, 36R","36C, 36L, 36R"
2020-11-03 01:52:42,2020-11-03 00:55:00,"36C, 36R","36C, 36L, 36R"
2020-11-03 02:14:46,2020-11-03 01:52:00,"36C, 36R","36C, 36L, 36R"
2020-11-03 02:53:41,2020-11-03 02:15:00,36R,"36L, 36R"
