gufi,timestamp,departure_runway_actual,departure_runway_actual_time,arrival_runway_actual,arrival_runway_actual_time
AAL890.DFW.CLT.201030.2154.0002.TFM,2020-11-01 00:07:08,,,36C,2020-11-01 00:07:08
N786HC.CLT.MEM.201031.2252.0016.TFM,2020-11-01 00:45:17,36R,2020-11-01 00:45:17,,
RPA3449.ORD.CLT.201030.2314.0001.TFM,2020-11-01 00:45:53,,,36C,2020-11-01 00:45:53
LN265CM.CLT.AVL.201031.2354.0007.TFM,2020-11-01 00:47:07,36R,2020-11-01 00:47:07,,
AAL1577.MIA.CLT.201031.0004.0013.TFM,2020-11-01 01:53:45,,,36R,2020-11-01 01:53:45
DAL2041.DTW.CLT.201031.0039.0019.TFM,2020-11-01 02:08:54,,,36L,2020-11-01 02:08:54
SKW5485.DEN.CLT.201030.2338.0063.TFM,2020-11-01 02:34:55,,,36L,2020-11-01 02:34:55
DAL1726.ATL.CLT.201031.0203.0025.TFM,2020-11-01 02:47:11,,,36L,2020-11-01 02:47:11
N814ST.ISM.CLT.201101.0025.0010.TFM,2020-11-01 03:03:56,,,36R,2020-11-01 03:03:56
EDV4640.MSP.CLT.201031.0059.0019.TFM,2020-11-01 03:05:48,,,36R,2020-11-01 03:05:48
UAL1826.IAH.CLT.201031.0113.0038.TFM,2020-11-01 03:15:52,,,36R,2020-11-01 03:15:52
N814ST.CLT.OPF.201101.0128.0002.TFM,2020-11-01 03:55:46,36R,2020-11-01 03:55:46,,
ABX3113.ILN.CLT.201101.0328.0035.TFM,2020-11-01 06:01:34,,,36R,2020-11-01 06:01:34
LN265CM.BKL.CLT.201101.0354.0003.TMA,2020-11-01 06:47:18,,,36R,2020-11-01 06:47:18
LN209CM.CLT.USA.201101.0651.0013.TFM,2020-11-01 07:48:24,36R,2020-11-01 07:48:24,,
ABX3114.CLT.CVG.201101.0923.0025.TFM,2020-11-01 10:53:47,36R,2020-11-01 10:53:47,,
DAL2039.CLT.DTW.201031.1054.0012.TFM,2020-11-01 11:08:20,36C,2020-11-01 11:08:20,,
DAL1719.CLT.ATL.201031.1054.0022.TFM,2020-11-01 11:10:51,36C,2020-11-01 11:10:51,,
LN265CM.CLT.BWI.201101.0925.0007.TMA,2020-11-01 11:35:18,36R,2020-11-01 11:35:18,,
TMC487.CLT.MIA.201031.2152.0019.TFM,2020-11-01 11:43:17,36R,2020-11-01 11:43:17,,
RPA3512.CLT.ORD.201031.1138.0027.TFM,2020-11-01 11:52:21,36C,2020-11-01 11:52:21,,
AAL9777.CLT.TPA.201101.0752.0010.TFM_TFDM,2020-11-01 12:01:04,36R,2020-11-01 12:01:04,,
EJA344.CLT.CMH.201031.1233.0059.TFM,2020-11-01 12:08:53,36R,2020-11-01 12:08:53,,
AAL599.PHX.CLT.201031.0853.0017.TFM,2020-11-01 12:09:22,,,36C,2020-11-01 12:09:22
RPA5652.CLT.LGA.201031.1154.0015.TFM,2020-11-01 12:11:23,36C,2020-11-01 12:11:23,,
UAL203.CLT.IAH.201031.1154.0055.TFM,2020-11-01 12:13:05,36C,2020-11-01 12:13:05,,
SWA1873.CLT.MDW.201031.1203.0048.TFM,2020-11-01 12:20:12,36C,2020-11-01 12:20:12,,
DAL2858.CLT.ATL.201031.1218.0015.TFM,2020-11-01 12:36:36,36C,2020-11-01 12:36:36,,
LN209CM.RDU.CLT.201101.0652.0011.TFM,2020-11-01 12:39:10,,,36R,2020-11-01 12:39:10
AAL1979.CLT.DFW.201031.1224.0003.TFM,2020-11-01 12:39:25,36C,2020-11-01 12:39:25,,
FFT199.CLT.DEN.201031.1228.0032.TFM,2020-11-01 12:40:45,36C,2020-11-01 12:40:45,,
FDX816.CLT.MEM.201031.1400.0012.TFM,2020-11-01 12:41:37,36R,2020-11-01 12:41:37,,
RPA3533.CLT.EWR.201031.1258.0037.TFM,2020-11-01 13:05:14,36C,2020-11-01 13:05:14,,
EDV5053.CLT.MSP.201031.1254.0157.TFM,2020-11-01 13:10:57,36C,2020-11-01 13:10:57,,
SWA1866.CLT.BWI.201031.1303.0017.TFM,2020-11-01 13:17:52,36C,2020-11-01 13:17:52,,
ASH6014.CLT.IAD.201031.1308.0058.TFM,2020-11-01 13:33:51,36C,2020-11-01 13:33:51,,
SKW5604.CLT.DEN.201031.1324.0060.TFM,2020-11-01 13:41:05,36C,2020-11-01 13:41:05,,
EJA396.APF.CLT.201101.0828.0003.TFM,2020-11-01 13:49:22,,,36R,2020-11-01 13:49:22
DAL1680.ATL.CLT.201031.1303.0038.TFM,2020-11-01 13:58:27,,,36C,2020-11-01 13:58:27
N346CC.CLT.BCT.201101.1321.0014.TFM,2020-11-01 14:20:58,36R,2020-11-01 14:20:58,,
AAL342.CLT.MIA.201031.1408.0066.TFM,2020-11-01 14:22:26,36R,2020-11-01 14:22:26,,
VTE3401.BKW.CLT.201031.1353.0065.TFM,2020-11-01 14:27:18,,,36C,2020-11-01 14:27:18
AAL514.CLT.DFW.201031.1424.0039.TFM,2020-11-01 14:35:11,36C,2020-11-01 14:35:11,,
LXJ519.CLT.MKC.201031.1829.0015.TMA,2020-11-01 14:37:46,36R,2020-11-01 14:37:46,,
LXJ551.CLT.CHA.201031.2105.0007.TFM,2020-11-01 14:42:26,36R,2020-11-01 14:42:26,,
ENY4111.CMI.CLT.201031.1324.0001.TFM,2020-11-01 14:55:51,,,36R,2020-11-01 14:55:51
AAL979.CLT.PHX.201031.1433.0059.TFM,2020-11-01 14:58:10,36C,2020-11-01 14:58:10,,
JBU1745.BOS.CLT.201031.1254.0053.TFM,2020-11-01 15:16:43,,,36C,2020-11-01 15:16:43
EJA579.CLT.TYS.201031.1524.0022.TFM,2020-11-01 15:21:12,36R,2020-11-01 15:21:12,,
SWA1886.BWI.CLT.201031.1403.0033.TFM,2020-11-01 15:29:22,,,36C,2020-11-01 15:29:22
DAL1680.CLT.ATL.201031.1518.0061.TFM,2020-11-01 15:34:00,36C,2020-11-01 15:34:00,,
GJS4408.EWR.CLT.201031.1328.0062.TFM,2020-11-01 15:35:24,,,36C,2020-11-01 15:35:24
PDT6094.ROA.CLT.201031.1454.0037.TFM,2020-11-01 15:53:17,,,36R,2020-11-01 15:53:17
N405QS.APF.CLT.201031.1429.0005.TFM,2020-11-01 15:59:28,,,36R,2020-11-01 15:59:28
N988H.CLT.HLN.201101.0526.0003.TFM,2020-11-01 16:05:02,36R,2020-11-01 16:05:02,,
N695PC.CLT.JFK.201101.0052.0011.TFM,2020-11-01 16:07:49,36R,2020-11-01 16:07:49,,
RPA5782.LGA.CLT.201031.1413.0039.TFM,2020-11-01 16:13:14,,,36R,2020-11-01 16:13:14
JBU218.CLT.BOS.201031.1558.0039.TFM,2020-11-01 16:14:46,36C,2020-11-01 16:14:46,,
JIA5050.EVV.CLT.201031.1509.0027.TFM,2020-11-01 16:15:29,,,36L,2020-11-01 16:15:29
AAL573.DEN.CLT.201031.1339.0026.TFM,2020-11-01 16:17:05,,,36L,2020-11-01 16:17:05
JIA5228.LEX.CLT.201031.1513.0025.TFM,2020-11-01 16:18:42,,,36L,2020-11-01 16:18:42
AAL1364.CLT.LAX.201031.1609.0019.TFM,2020-11-01 16:19:18,36C,2020-11-01 16:19:18,,
AAL1687.CLT.PHL.201031.1603.0095.TFM,2020-11-01 16:20:47,36C,2020-11-01 16:20:47,,
JIA5276.ERI.CLT.201031.1448.0037.TFM,2020-11-01 16:20:49,,,36R,2020-11-01 16:20:49
AAL1433.TUL.CLT.201031.1428.0085.TFM,2020-11-01 16:22:28,,,36L,2020-11-01 16:22:28
AAL2556.SAT.CLT.201031.1403.0075.TFM,2020-11-01 16:24:09,,,36L,2020-11-01 16:24:09
AAL1704.TPA.CLT.201031.1509.0061.TFM,2020-11-01 16:25:44,,,36L,2020-11-01 16:25:44
EDV4782.MSP.CLT.201031.1408.0033.TFM,2020-11-01 16:27:28,,,36L,2020-11-01 16:27:28
AAL643.CLT.PHX.201031.1618.0065.TFM,2020-11-01 16:28:42,36C,2020-11-01 16:28:42,,
JIA5272.TLH.CLT.201031.1513.0027.TFM,2020-11-01 16:28:55,,,36L,2020-11-01 16:28:55
JIA5178.GSP.CLT.201031.1548.0050.TFM,2020-11-01 16:30:31,,,36L,2020-11-01 16:30:31
JIA5064.CHO.CLT.201031.1524.0075.TFM,2020-11-01 16:31:08,,,36R,2020-11-01 16:31:08
AAL507.PHX.CLT.201031.1254.0149.TFM,2020-11-01 16:31:49,,,36L,2020-11-01 16:31:49
PDT6154.MDT.CLT.201031.1433.0028.TFM,2020-11-01 16:33:40,,,36R,2020-11-01 16:33:40
SWA1886.CLT.DAL.201031.1618.0056.TFM,2020-11-01 16:34:42,36C,2020-11-01 16:34:42,,
JIA5164.LYH.CLT.201031.1539.0020.TFM,2020-11-01 16:35:37,,,36R,2020-11-01 16:35:37
AAL1266.MSY.CLT.201031.1454.0200.TFM,2020-11-01 16:36:16,,,36L,2020-11-01 16:36:16
ENY3805.GSO.CLT.201031.1544.0036.TFM,2020-11-01 16:37:54,,,36R,2020-11-01 16:37:54
EDV5104.DTW.CLT.201031.1454.0104.TFM,2020-11-01 16:38:07,,,36L,2020-11-01 16:38:07
AAL2114.MCO.CLT.201031.1513.0044.TFM,2020-11-01 16:39:07,,,36L,2020-11-01 16:39:07
AAL553.CLT.DFW.201031.1629.0056.TFM,2020-11-01 16:39:58,36C,2020-11-01 16:39:58,,
JIA5237.PNS.CLT.201031.1524.0043.TFM,2020-11-01 16:40:13,,,36R,2020-11-01 16:40:13
JIA5256.FWA.CLT.201031.1513.0046.TFM,2020-11-01 16:40:35,,,36L,2020-11-01 16:40:35
AAL1819.BNA.CLT.201031.1529.0002.TFM,2020-11-01 16:42:02,,,36L,2020-11-01 16:42:02
AAL1216.DFW.CLT.201031.1428.0076.TFM,2020-11-01 16:43:04,,,36L,2020-11-01 16:43:04
AAL327.JFK.CLT.201031.1443.0068.TFM,2020-11-01 16:43:25,,,36R,2020-11-01 16:43:25
AAL2895.CLE.CLT.201031.1513.0042.TFM,2020-11-01 16:44:30,,,36L,2020-11-01 16:44:30
AAL2854.ILM.CLT.201031.1548.0057.TFM,2020-11-01 16:45:18,,,36R,2020-11-01 16:45:18
JIA5092.MOB.CLT.201031.1524.0062.TFM,2020-11-01 16:45:53,,,36L,2020-11-01 16:45:53
AAL938.MYR.CLT.201031.1553.0083.TFM,2020-11-01 16:46:59,,,36R,2020-11-01 16:46:59
